ID,단원,난이도,문제,정답,풀이
grade3_1st_step_158,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,52 * 4의 값은 얼마입니까?,208,"일의 자리 2 곱하기 4는 8이야. 그다음 5 곱하기 4는 20이지? 20을 앞에 그대로 써주면 208이라는 큰 숫자가 정답이 된단다."
grade3_1st_step_159,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,동전 50원짜리가 6개 있으면 모두 얼마입니까?,300원,"50 곱하기 6을 해보자. 5 곱하기 6은 30이고 거기에 원래 있던 0을 하나 더 붙여주면 300이 돼. 그래서 300원이란다. 아주 부자가 된 기분이지?"
grade3_1st_step_160,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,14 * 7의 값은 얼마입니까?,98,"4 곱하기 7은 28이니까 8을 쓰고 2를 올려주자. 1 곱하기 7은 7인데 2를 더하면 9가 되지? 그래서 정답은 98이야. 100에 아주 가까운 숫자네!"
grade3_1st_step_161,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,자동차 한 대에 사람이 5명씩 타고 있습니다 자동차 12대에는 몇 명이 탈까요?,60,"12 곱하기 5를 계산해보자. 2 곱하기 5는 10이라 0 쓰고 1 올리고 1 곱하기 5는 5인데 1 더해서 6! 그래서 모두 60명이 탈 수 있어."
grade3_1st_step_162,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,36 * 2의 값은 얼마입니까?,72,"6 곱하기 2는 12니까 2 쓰고 1 올리자. 3 곱하기 2는 6인데 1 더하면 7이 되지? 그래서 정답은 72야. 구구단 2단을 잘 생각하면 쉬워!"
grade3_1st_step_163,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,개미 한 마리의 다리는 6개입니다 개미 15마리의 다리는 모두 몇 개일까요?,90,"15 곱하기 6을 해보면 돼. 5 곱하기 6은 30이고 1 곱하기 6은 6인데 3을 더해서 9! 개미 다리가 90개나 된다니 정말 많다 그치?"
grade3_1st_step_164,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,27 * 3의 값은 얼마입니까?,81,"7 곱하기 3은 21이니까 1 쓰고 2를 올리자. 2 곱하기 3은 6인데 아까 올린 2를 더하면 8이 돼. 그래서 정답은 81이란다."
grade3_1st_step_165,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,연필 한 다스(12자루)가 8상자 있으면 연필은 모두 몇 자루인가요?,96,"12 곱하기 8을 세로셈으로 해볼까? 2 곱하기 8은 16이라 6 쓰고 1 올리고 1 곱하기 8은 8인데 1 더하면 9! 그래서 96자루가 정답이야."
grade3_1st_step_166,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,61 * 5의 값은 얼마입니까?,305,"일의 자리 1 곱하기 5는 5야. 십의 자리 6 곱하기 5는 30이지? 30을 5 앞에 써주면 305가 돼. 숫자가 커져도 자릿수만 잘 맞추면 돼!"
grade3_1st_step_167,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,우유가 한 줄에 4개씩 20줄 있습니다 우유는 모두 몇 개일까요?,80,"20 곱하기 4를 해보자. 2 곱하기 4는 8이고 0을 뒤에 쏙 붙이면 80이 되지? 우유 80개를 다 마시려면 시간이 꽤 걸리겠는걸?"
grade3_1st_step_168,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,17 * 4의 값은 얼마입니까?,68,"7 곱하기 4는 28이라 8 쓰고 2를 올리자. 1 곱하기 4는 4인데 2를 더하면 6이지? 그래서 정답은 68이야."
grade3_1st_step_169,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 시간에 15쪽씩 책을 읽습니다 4시간 동안 읽으면 몇 쪽을 읽을까요?,60,"15 곱하기 4를 하면 돼. 5 곱하기 4는 20이니까 0 쓰고 2 올리고 1 곱하기 4는 4인데 2 더하면 6! 그래서 모두 60쪽을 읽게 된단다."
grade3_1st_step_170,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,33 * 4의 값은 얼마입니까?,132,"3 곱하기 4는 12니까 2 쓰고 1 올릴게. 또 3 곱하기 4는 12인데 1 더하면 13이지? 그래서 정답은 세 자리 수인 132가 된단다."
grade3_1st_step_171,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,바구니에 참외가 11개씩 9바구니 있습니다 참외는 모두 몇 개인가요?,99,"11 곱하기 9는 같은 숫자가 두 번 나오는 마법 같은 문제야. 1 곱하기 9는 9니까 십의 자리 일의 자리 모두 9를 써서 99개가 돼!"
grade3_1st_step_172,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,24 * 3의 값은 얼마입니까?,72,"4 곱하기 3은 12라 2 쓰고 1 올리고 2 곱하기 3은 6인데 1 더해서 7! 72가 나오네. 24를 3번 더한 것과 똑같단다."
grade3_1st_step_173,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 팀에 13명씩 5팀이 축구 경기를 하려고 합니다 선수는 모두 몇 명인가요?,65,"13 곱하기 5를 해보자. 3 곱하기 5는 15니까 5 쓰고 1 올리고 1 곱하기 5는 5인데 1 더해서 6! 선수는 모두 65명이야."
grade3_1st_step_174,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,42 * 4의 값은 얼마입니까?,168,"2 곱하기 4는 8이고 4 곱하기 4는 16이지? 16을 8 앞에 붙여주면 168이 된단다. 곱셈을 하니까 숫자가 쑥쑥 커지지?"
grade3_1st_step_175,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 묶음에 꽃이 16송이씩 있습니다 4묶음에는 꽃이 모두 몇 송이일까요?,64,"16 곱하기 4를 해볼까? 6 곱하기 4는 24라 4 쓰고 2 올리고 1 곱하기 4는 4인데 2 더해서 6! 그래서 꽃은 모두 64송이야."
grade3_1st_step_176,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,19 * 3의 값은 얼마입니까?,57,"9 곱하기 3은 27이니까 7 쓰고 2 올리고 1 곱하기 3은 3인데 2 더해서 5! 정답은 57이야. 받아올림 숫자를 잊지 말고 꼭 더해줘!"
grade3_1st_step_177,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,동전 10원짜리가 25개 있으면 모두 얼마입니까?,250원,"25 곱하기 10을 해보자. 어떤 수에 10을 곱하면 뒤에 0만 하나 슥 붙여주면 돼! 그래서 250원이 되는 거야. 신기하지?"
grade3_1st_step_178,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,37 * 2의 값은 얼마입니까?,74,"7 곱하기 2는 14라 4 쓰고 1 올리고 3 곱하기 2는 6인데 1 더해서 7! 정답은 74야. 세로셈으로 자릿수를 맞춰서 풀어보렴!"
grade3_1st_step_179,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 곽에 계란이 10개씩 들어있습니다 13곽이면 계란은 모두 몇 개인가요?,130,"13 곱하기 10을 하면 돼. 13 뒤에 0을 하나 쏙 붙여서 130개라고 답하면 된단다. 10을 곱하는 건 정말 즐거워!"
grade3_1st_step_180,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,22 * 6의 값은 얼마입니까?,132,"2 곱하기 6은 12라 2 쓰고 1 올리고 또 2 곱하기 6은 12인데 1 더해서 13! 그래서 정답은 132가 된단다."
grade3_1st_step_181,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,사탕을 한 명에게 14개씩 5명에게 주었습니다 사탕은 모두 몇 개 필요합니까?,70,"14 곱하기 5를 해보자. 4 곱하기 5는 20이라 0 쓰고 2 올리고 1 곱하기 5는 5인데 2 더해서 7! 그래서 70개가 필요해."
grade3_1st_step_182,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,48 * 2의 값은 얼마입니까?,96,"8 곱하기 2는 16이라 6 쓰고 1 올리고 4 곱하기 2는 8인데 1 더해서 9! 정답은 96이야. 거의 100에 다 왔네!"
grade3_1st_step_183,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 다발에 장미가 12송이씩 7다발 있습니다 장미는 모두 몇 송이인가요?,84,"12 곱하기 7을 계산해보자. 2 곱하기 7은 14라 4 쓰고 1 올리고 1 곱하기 7은 7인데 1 더해서 8! 장미는 모두 84송이야."
grade3_1st_step_184,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,31 * 5의 값은 얼마입니까?,155,"1 곱하기 5는 5! 3 곱하기 5는 15! 15를 5 앞에 써주면 155가 정답이야. 받아올림이 없어서 더 빠르고 정확하게 풀 수 있지?"
grade3_1st_step_185,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,빵 한 봉지에 26개씩 3봉지 있습니다 빵은 모두 몇 개입니까?,78,"26 곱하기 3을 해보자. 6 곱하기 3은 18이라 8 쓰고 1 올리고 2 곱하기 3은 6인데 1 더해서 7! 모두 78개의 빵이 있네."
grade3_1st_step_186,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,13 * 6의 값은 얼마입니까?,78,"3 곱하기 6은 18이라 8 쓰고 1 올리고 1 곱하기 6은 6인데 1 더해서 7! 78이 정답이야. 구구단 6단을 잘 외워두렴!"
grade3_1st_step_187,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 줄에 의자가 21개씩 8줄 있습니다 의자는 모두 몇 개일까요?,168,"21 곱하기 8을 해보자. 1 곱하기 8은 8이고 2 곱하기 8은 16이니까 16을 8 앞에 써서 168개가 정답이란다."
grade3_1st_step_188,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,11 * 11의 값은 얼마입니까?,121,"이건 조금 어려울 수 있어! 11 곱하기 10은 110이고 거기에 11을 한 번 더 더하면 121이 된단다. 나중에 많이 나오는 숫자니 기억해둬!"
grade3_1st_step_189,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,44 * 2의 값은 얼마입니까?,88,"4 곱하기 2는 8이고 또 4 곱하기 2는 8이지? 자릿수마다 8을 적어주면 88이 완성돼. 쌍둥이 숫자가 정답이네!"
grade3_1st_step_190,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,주스 한 상자에 24병씩 들어있습니다 4상자에는 몇 병이 들어있을까요?,96,"24 곱하기 4를 해보자. 4 곱하기 4는 16이라 6 쓰고 1 올리고 2 곱하기 4는 8인데 1 더해서 9! 주스는 모두 96병이야."
grade3_1st_step_191,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,17 * 3의 값은 얼마입니까?,51,"7 곱하기 3은 21이니까 1 쓰고 2 올리고 1 곱하기 3은 3인데 2 더해서 5! 정답은 51이란다. 홀수가 정답으로 나왔네?"
grade3_1st_step_192,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 상자에 사과가 15개씩 들어있습니다 5상자에는 사과가 몇 개 있을까요?,75,"15 곱하기 5를 계산해볼까? 5 곱하기 5는 25라 5 쓰고 2 올리고 1 곱하기 5는 5인데 2 더해서 7! 그래서 사과는 모두 75개야."
grade3_1st_step_193,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,39 * 2의 값은 얼마입니까?,78,"9 곱하기 2는 18이라 8 쓰고 1 올리고 3 곱하기 2는 6인데 1 더해서 7! 78이 정답이야. 40 곱하기 2인 80보다 2가 작네?"
grade3_1st_step_194,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,색연필이 한 통에 12자루씩 9통 있습니다 색연필은 모두 몇 자루입니까?,108,"12 곱하기 9를 해보자. 2 곱하기 9는 18이라 8 쓰고 1 올리고 1 곱하기 9는 9인데 1 더해서 10! 드디어 100이 넘는 108자루가 정답이야."
grade3_1st_step_195,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,55 * 3의 값은 얼마입니까?,165,"5 곱하기 3은 15라 5 쓰고 1 올리고 또 5 곱하기 3은 15인데 1 더해서 16! 165가 정답이야. 숫자가 아주 커졌지?"
grade3_1st_step_196,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 묶음에 고무줄이 22개씩 5묶음 있습니다 고무줄은 모두 몇 개인가요?,110,"22 곱하기 5를 해보자. 2 곱하기 5는 10이라 0 쓰고 1 올리고 또 2 곱하기 5는 10인데 1 더해서 11! 그래서 110개가 정답이란다."
grade3_1st_step_197,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,16 * 6의 값은 얼마입니까?,96,"6 곱하기 6은 36이라 6 쓰고 3 올리고 1 곱하기 6은 6인데 3 더해서 9! 정답은 96이야. 16을 6번 더하는 것보다 훨씬 빠르지?"
grade3_1st_step_198,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,28 * 3의 값은 얼마입니까?,84,"8 곱하기 3은 24니까 4 쓰고 2 올리고 2 곱하기 3은 6인데 2 더해서 8! 그래서 정답은 84야. 자릿수 계산을 꼼꼼히 해보렴."
grade3_1st_step_199,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,한 줄에 나무가 13그루씩 7줄 심어져 있습니다 나무는 모두 몇 그루입니까?,91,"13 곱하기 7을 해보자. 3 곱하기 7은 21이라 1 쓰고 2 올리고 1 곱하기 7은 7인데 2 더해서 9! 그래서 나무는 모두 91그루야."
grade3_1st_step_200,1-4단원. 곱셈 (두 자리 수 × 한 자리 수),2,47 * 2의 값은 얼마입니까?,94,"7 곱하기 2는 14라 4 쓰고 1 올리고 4 곱하기 2는 8인데 1 더해서 9! 정답은 94란다. 오늘도 곱셈 공부하느라 정말 고생 많았어!"
grade3_1st_step_201,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,3cm 5mm는 몇 mm입니까?,35mm,"자~ 1cm가 10mm라는 걸 기억하니? 그럼 3cm는 30mm겠지? 거기에 남은 5mm를 쏙 더해주면 35mm가 된단다. 아주 잘했어!"
grade3_1st_step_202,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1km는 몇 m입니까?,1000m,"km는 아주 먼 거리를 잴 때 써. m가 무려 1000개나 모여야 겨우 1km가 된단다. 0이 세 개나 붙는다는 거 꼭 기억해!"
grade3_1st_step_203,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,2분 10초는 모두 몇 초입니까?,130초,"1분은 60초지? 그럼 2분은 60 더하기 60이니까 120초야. 거기다 10초를 더 보태면 130초가 되는 거지. 시계 보기가 재밌어지지?"
grade3_1st_step_204,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,75mm를 cm와 mm로 나타내면?,7cm 5mm,"10mm가 1cm니까 70mm는 7cm가 되겠지? 남은 5mm는 그대로 적어주면 돼. 그래서 7cm 5mm가 정답이란다."
grade3_1st_step_205,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1500m는 몇 km 몇 m입니까?,1km 500m,"1000m가 1km로 변신! 하고 나면 500m가 남지? 그래서 1km 500m라고 쓰면 돼. 숫자가 커도 겁낼 거 없단다."
grade3_1st_step_206,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,90초는 몇 분 몇 초입니까?,1분 30초,"90초 안에는 60초(1분)가 한 번 들어가고 30초가 남네? 그래서 1분 30초라고 하는 거야. 컵라면 기다리는 시간 같네!"
grade3_1st_step_207,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,4km 200m와 1km 300m를 더하면?,5km 500m,"끼리끼리 더해보자! km는 km끼리 더해서 5km! m는 m끼리 더해서 500m! 그래서 5km 500m가 된단다. 참 쉽지?"
grade3_1st_step_208,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,8cm 2mm에서 3cm 1mm를 빼면?,5cm 1mm,"뺄셈도 똑같아. cm끼리 빼면 8-3=5cm! mm끼리 빼면 2-1=1mm! 그래서 답은 5cm 1mm야. 받아내림이 없어서 금방 풀었지?"
grade3_1st_step_209,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1시간 20분은 몇 분입니까?,80분,"1시간은 60분이지? 60분에 20분을 더하면 80분이 돼. 영화 한 편 보는 시간이 보통 이 정도란다!"
grade3_1st_step_210,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,초바늘이 한 바퀴를 다 돌면 몇 초가 지나는 건가요?,60초,"시계의 가장 날씬하고 빠른 초바늘! 그 친구가 12에서 출발해 다시 12로 오면 딱 60초가 지난 거야. 그게 바로 1분이지!"
grade3_1st_step_211,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,250mm는 몇 cm입니까?,25cm,"10mm마다 1cm니까 뒤에 있는 0 하나만 떼주면 cm가 돼! 그래서 250mm는 25cm가 되는 거란다."
grade3_1st_step_212,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,3km보다 500m 더 먼 거리는?,3km 500m,"3km라는 긴 길에 500m를 더 붙여보자. 그대로 읽어주면 3km 500m가 정답이야. 운동장을 많이 뛰었나 보네!"
grade3_1st_step_213,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,100초는 몇 분 몇 초인가요?,1분 40초,"100에서 60을 쏙 빼면 40이 남지? 60은 1분으로 바뀌니까 정답은 1분 40초야. 시간 변환도 척척 잘하네!"
grade3_1st_step_214,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,5cm 4mm + 2cm 8mm의 값은?,8cm 2mm,"mm끼리 더하면 12mm지? 여기서 10mm를 1cm로 올려주자! 그럼 cm는 5+2+1=8이 되고 mm는 2가 남아서 8cm 2mm가 돼."
grade3_1st_step_215,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,7km 800m - 2km 300m의 값은?,5km 500m,"km는 km끼리 빼서 5km! m는 m끼리 빼서 500m! 7에서 2 빼고 800에서 300 빼면 되니까 아주 간단하지?"
grade3_1st_step_216,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,180분은 몇 시간입니까?,3시간,"60분씩 묶어보자. 60 120 180! 60이 세 번 들어가지? 그래서 180분은 딱 3시간이 되는 거야."
grade3_1st_step_217,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,지우개의 길이를 잴 때 알맞은 단위는?,cm,"지우개는 km처럼 멀지도 않고 mm처럼 아주 작지도 않지? 그래서 cm(센티미터)로 재는 게 가장 정확하고 편하단다."
grade3_1st_step_218,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,서울에서 부산까지의 거리를 잴 때 알맞은 단위는?,km,"도시와 도시 사이는 아주아주 멀어! 이럴 때는 m로 쓰면 숫자가 너무 커지니까 km(킬로미터) 단위를 써야 해."
grade3_1st_step_219,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,6분 40초 - 2분 10초는?,4분 30초,"분은 분끼리 빼서 4분! 초는 초끼리 빼서 30초! 거꾸로 계산해도 받아내림이 없어서 금방 구할 수 있단다."
grade3_1st_step_220,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,수학 시험 시간이 40분이면 몇 초 동안 보는 걸까요?,2400초,"와 숫자가 크다! 40 곱하기 60을 해야 해. 4 곱하기 6은 24고 0을 두 개 붙이면 2400초지? 엄청 긴 시간이구나!"
grade3_1st_step_221,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1cm는 mm가 몇 개 모인 것입니까?,10개,"자 눈금을 자세히 봐봐. cm 사이에 작은 칸들이 보이지? 그게 10칸이 모여야 1cm가 된단다. 그래서 10개야."
grade3_1st_step_222,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,9km 50m는 몇 m입니까?,9050m,"9km는 9000m지? 거기다 50m를 더하면 9050m가 돼. 가운데 0을 빼먹지 않게 조심해야 해!"
grade3_1st_step_223,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,300초는 몇 분입니까?,5분,"60 곱하기 얼마가 300일까? 6 곱하기 5가 30이니까 60 곱하기 5는 300이지! 그래서 300초는 5분이란다."
grade3_1st_step_224,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,4cm 5mm보다 15mm 더 긴 길이는?,6cm,"4cm 5mm는 45mm지? 여기에 15mm를 더하면 60mm가 돼. 60mm는 바로 6cm란다. 딱 떨어지네!"
grade3_1st_step_225,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,시계의 분바늘이 한 숫자에서 다음 숫자까지 가는 데 걸리는 시간은?,5분,"분바늘이 1에서 2까지 가면 작은 눈금 5칸을 지나가. 그래서 5분이 걸리는 거야. 시계의 비밀을 하나 알았네!"
grade3_1st_step_226,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,8200m는 몇 km 몇 m입니까?,8km 200m,"1000m 덩어리가 8개 있으니 8km! 남은 200m는 그대로! 그래서 8km 200m라고 읽어주면 돼."
grade3_1st_step_227,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,15분 20초 + 10분 50초는?,26분 10초,"초끼리 더하면 70초지? 여기서 60초를 1분으로 올려주자. 그럼 분은 15+10+1=26분이 되고 초는 10초만 남는단다."
grade3_1st_step_228,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,학교 운동장 한 바퀴를 재기에 가장 좋은 단위는?,m,"운동장은 cm로 재기엔 너무 길고 km로 재기엔 좀 짧지? 그래서 m(미터) 단위를 쓰는 게 가장 좋단다."
grade3_1st_step_229,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,20cm 5mm - 10cm 8mm는?,9cm 7mm,"5mm에서 8mm를 못 빼니까 cm에서 빌려오자! 15에서 8을 빼면 7mm가 되고 cm는 19에서 10을 빼서 9cm가 돼."
grade3_1st_step_230,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,10km에서 3km 500m를 빼면?,6km 500m,"10km를 9km 1000m로 바꿔서 빼보자. 1000에서 500 빼면 500m! 9에서 3 빼면 6km! 그래서 답은 6km 500m야."
grade3_1st_step_231,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,3시간은 몇 분입니까?,180분,"1시간에 60분이니까 60을 세 번 더해봐! 60+60+60은 180이지? 그래서 180분 동안 놀 수 있는 거야!"
grade3_1st_step_232,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,만화 한 편이 20분이면 3편을 보는 데 걸리는 시간은?,1시간,"20분씩 3번이면 60분이지? 60분은 바로 1시간과 똑같단다. 만화 3편 보면 한 시간이 훌쩍 가네!"
grade3_1st_step_233,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,연필 한 자루의 길이는 약 몇 cm입니까?,15cm,"우리 친구들이 쓰는 새 연필을 자로 재보면 보통 15에서 18cm 정도 돼. 손바닥보다 조금 더 긴 길이지."
grade3_1st_step_234,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,4000m와 4km 중 어느 것이 더 깁니까?,같습니다,"1000m가 1km니까 4000m는 4km와 완전히 똑같은 길이야. 이름만 다른 쌍둥이라고 생각하면 돼!"
grade3_1st_step_235,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1분 동안 심장이 70번 뛴다면 2분 동안은 몇 번 뛸까요?,140번,"70 곱하기 2를 하면 되겠지? 7 곱하기 2는 14고 0을 붙이면 140! 우리 몸은 매분 열심히 일하고 있단다."
grade3_1st_step_236,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,6cm 7mm는 몇 mm입니까?,67mm,"6cm를 mm로 바꾸면 60mm! 거기다 7mm를 합치면 67mm가 돼. 단위 바꾸는 도사가 다 됐구나!"
grade3_1st_step_237,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,9시 30분에서 1시간 10분이 지나면 몇 시인가요?,10시 40분,"9시에 1시간 더하면 10시! 30분에 10분 더하면 40분! 그래서 10시 40분이 된단다. 점심시간이 다가오네!"
grade3_1st_step_238,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,2km 300m + 4km 800m의 값은?,7km 100m,"m끼리 더하면 1100m지? 1000m를 1km로 올려주자. 그럼 km는 2+4+1=7km가 되고 m는 100m가 남는단다."
grade3_1st_step_239,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,120초 동안 숨을 참았다면 몇 분 동안 참은 건가요?,2분,"60초가 1분이니까 120초는 60이 두 번이지? 그래서 2분이야. 하지만 숨을 너무 오래 참으면 안 돼!"
grade3_1st_step_240,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,개미의 몸길이를 잴 때 가장 알맞은 단위는?,mm,"개미는 아주 작지? cm로 재기엔 1cm도 안 되는 경우가 많아서 아주 작은 단위인 mm(밀리미터)를 쓴단다."
grade3_1st_step_241,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,100분은 몇 시간 몇 분입니까?,1시간 40분,"100에서 60분을 덜어내서 1시간으로 만들자. 그럼 40분이 남지? 그래서 정답은 1시간 40분이야."
grade3_1st_step_242,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,두 점 사이의 가장 짧은 길이를 무엇이라고 하나요?,거리,"두 곳을 잇는 가장 곧고 짧은 길이를 우리는 '거리'라고 불러. 집에서 학교까지 거리가 얼마인지 재볼까?"
grade3_1st_step_243,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,30cm 자로 1m를 재려면 몇 번 옮겨야 하나요?,4번,"30 60 90... 세 번 하면 90cm고 조금 더 필요하지? 1m는 100cm니까 최소 4번은 옮겨가며 재야 한단다."
grade3_1st_step_244,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,50분 수업 후 10분 휴식하면 총 몇 시간이 지난 건가요?,1시간,"50분 더하기 10분은 60분! 60분은 뭐라 그랬지? 맞아 딱 1시간이야. 공부도 휴식도 아주 알차게 했네!"
grade3_1st_step_245,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,12km - 5km 200m는?,6km 800m,"11km 1000m에서 빼보자. 1000-200은 800m! 11-5는 6km! 그래서 정답은 6km 800m가 된단다."
grade3_1st_step_246,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,초바늘이 12에서 출발해 6까지 왔다면 몇 초가 지난 건가요?,30초,"시계의 절반을 지나왔네? 60초의 절반은 30초지! 그래서 30초가 지난 거란다. 반 바퀴를 잘 돌았어!"
grade3_1st_step_247,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,1cm 2mm를 3번 더하면 몇 cm 몇 mm인가요?,3cm 6mm,"12mm를 세 번 더하면 36mm가 되지? 이걸 다시 cm로 바꾸면 3cm 6mm가 돼. 곱셈을 써도 좋단다!"
grade3_1st_step_248,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,5km보다 2000m 더 먼 거리는 몇 km입니까?,7km,"2000m는 2km와 같지? 원래 있던 5km에 2km를 더하니까 정답은 7km가 된단다. 아주 먼 길이네!"
grade3_1st_step_249,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,2시간 10분은 몇 초입니까?,7800초,"우와 이건 진짜 어렵다! 1시간은 3600초야. 2시간이면 7200초고 10분은 600초니까 다 더하면 7800초란다!"
grade3_1st_step_250,1-5단원. 길이와 시간 (mm / km / 시간의 합과 차),2,지금이 2시 50분인데 20분 후에 학원이 끝난다면 몇 시에 끝날까요?,3시 10분,"50분에서 10분이 지나면 3시 정각이지? 거기서 10분이 더 지나야 하니까 3시 10분에 끝난단다. 수고했어!"
grade3_1st_step_251,1-6단원. 분수와 소수 (분수와 소수의 기초),3,전체를 똑같이 4로 나눈 것 중의 3을 분수로 나타내면?,3/4,"전체를 몇 개로 나눴는지가 아래(분모)로 가고 그중 몇 개인지가 위(분자)로 가는 거야. 4개 중 3개니까 4분의 3이라고 쓰고 $3/4$라고 읽는단다."
grade3_1st_step_252,1-6단원. 분수와 소수 (분수와 소수의 기초),3,분수 5/8에서 분모는 무엇입니까?,8,"분수에서 아래에 있는 숫자는 엄마처럼 든든하게 받쳐준다고 해서 '분모'라고 불러. 여기서는 8이 분모가 되겠지?"
grade3_1st_step_253,1-6단원. 분수와 소수 (분수와 소수의 기초),3,분수 2/7에서 분자는 무엇입니까?,2,"분수에서 위에 있는 숫자는 아들처럼 엄마 위에 업혀있다고 해서 '분자'라고 부른단다. 여기서는 2가 분자야."
